A101,Classroom,199 451,hA26,13,
A1Lib,Classroom,268 464,hA26 hA18,69 39,Library
A106,Classroom,333 476,hA19,12,
A111,Classroom,380 476,hA20,12,
A112,Classroom,391 450,hA21,14,
A114,Classroom,434 450,hA25,9,
A115,Classroom,419 476,hA24,8,
A116,Classroom,296 394,hA16,11,
A118,Classroom,296 374,hA15,11,
A120,Classroom,296 352,hA14,11,
A122,Classroom,277 250,hA11,30,
A123,Classroom,328 333,hA13,21,Staff (A123)
A1O,Classroom,196 391,hA3,11,Office
A127,Classroom,195 350,hA4,12,A127
A128,Classroom,149 350,hA7,9,
A129,Classroom,149 338,hA6,9,
A130,Classroom,196 325,hA8,11,
A131,Classroom,196 279,hA10,11,
B103,Classroom,215 206,hB5,11,
B105,Classroom,168 206,hB20,11,
B106,Classroom,145 186,hB7,7,
B107,Classroom,131 126,hB9,21,Staff (B107)
B109,Classroom,152 104,hB10,13,
B110,Classroom,175 104,hB11,13,
B111,Classroom,211 104,hB12,13,
B112,Classroom,246 104,hB13,13,
B1Aud,Classroom,188 156,hB16 hB19 B2Aud B2Aud1,1 1 1 1,Auditorium (B113)
B114,Classroom,282 104,hB14,13,
C102,Classroom,427 252,hC5,14,
C103,Classroom,459 252,hC10,14,
C104,Classroom,499 272,hC11,34,
C105,Classroom,554 252,hC13,14,
C106,Classroom,606 252,hC14,14,
C107,Classroom,682 259,hC20,21,Weight Room (C107)
C108,Classroom,690 259,hC21,21,Metalwork (C108)
C109,Classroom,715 238,hC22,14,
C1Caf,Classroom,376 205,hC2 hC3,31 23,Cafeteria
C123,Classroom,494 216,hC23,23,Yoga (C123)
C129,Classroom,491 99,hC9,26,
C1GA,Classroom,567 200,hC19 hC16,50 72,Gym A
C1GB,Classroom,567 114,hC18 hC17,50 72,Gym B
C1GC,Classroom,701 200,hC22,38,Gym C (C112)
D105,Classroom,478 445,hD1,14,Police (D105)
D106,Classroom,509 474,hD3,11,
D107,Classroom,519 449,hD4,14,
D108,Classroom,532 474,hD5,11,
D109,Classroom,553 474,hD6,11,
D110,Classroom,580 474,hD8,11,
D111,Classroom,565 449,hD7,14,
D112,Classroom,601 449,hD9,14,
D113,Classroom,618 474,hD10,11,
D114,Classroom,655 474,hD11,11,
D120,Classroom,664 449,hD12,14,
D121,Classroom,744 399,hD13,64,Woodwork (D121)
D123,Classroom,758 463,hD13,14,Automotive (D123)
D124,Classroom,744 507,hD13,44,Graphic Arts (D124)
hA1,Hallway,165 419,hA2 s1A1,42 15,
hA2,Hallway,207 419,hA1 hA3 hA17,42 28 100,
hA3,Hallway,207 391,hA2 A1O hA4,28 11 41,
hA4,Hallway,207 350,hA3 A127 hA5,41 12 12,
hA5,Hallway,207 338,hA4 hA6 hA8,12 49 13,
hA6,Hallway,158 338,hA5 A129 hA7,49 9 12,
hA7,Hallway,158 350,A128 hA6,9 12,
hA8,Hallway,207 325,hA5 A130 hA9,13 11 21,
hA9,Hallway,207 304,hA8 hA10 hA28,21 25 19,
hA10,Hallway,207 279,A131 hA9,11 25,
hA11,Hallway,307 250,A122 hA12 hB1,30 54 12,
hA12,Hallway,307 304,hA11 hA28 hA13,54 81 29,
hA13,Hallway,307 333,hA12 hA14 A123,29 19 21,
hA14,Hallway,307 352,A120 hA13 hA15,11 19 22,
hA15,Hallway,307 374,A118 hA14 hA16,11 22 20,
hA16,Hallway,307 394,hA15 A116 hA17 A1Couns,20 11 25 16,
hA17,Hallway,307 419,hA16 hA2 hA27,25 100 9,
hA18,Hallway,307 464,hA27 A1Lib hA19,36 39 26,
hA19,Hallway,333 464,hA18 A106 hA20,26 12 47,
hA20,Hallway,380 464,hA19 A111 hA21,47 12 11,
hA21,Hallway,391 464,hA20 A112 hA23,11 14 28,
hA22,Hallway,419 459,hA23 hA25,5 15,
hA23,Hallway,419 464,hA22 hA24 hA21,5 4 28,
hA24,Hallway,419 468,hA23 A115 s1A4,4 8 17,
hA25,Hallway,434 459,hA22 A114 hD1,15 9 44,
hA26,Hallway,199 464,A1Lib A101,69 13,
hA27,Hallway,307 428,hA17 hA18 s1A2,9 36 21,
hB1,Hallway,307 238,hA11 hB17 hC1,12 18 38,
hB2,Hallway,307 205,hB17 hB3 hC2,15 10 38,
hB3,Hallway,307 195,hB2 hB4 hB15,10 61 78,
hB4,Hallway,246 195,hB3 hB5 hB16,61 31 20,
hB5,Hallway,215 195,hB4 hB20 B103,31 47 11,
hB6,Hallway,152 195,hB7 hB20,9 16,
hB7,Hallway,152 186,hB6 B106 hB8,9 7 30,
hB8,Hallway,152 156,hB7 hB9 s1B3,30 30 21,
hB9,Hallway,152 126,hB8 hB10 B107,30 9 21,
hB10,Hallway,152 117,hB9 hB11 B109,9 23 13,
hB11,Hallway,175 117,hB10 hB12 B110,23 36 13,
hB12,Hallway,211 117,hB11 hB13 B111,36 35 13,
hB13,Hallway,246 117,hB12 hB14 hB19 B112,35 36 19 13,
hB14,Hallway,282 117,hB13 hB15 B114,36 25 13,
hB15,Hallway,307 117,hB14 hB3 s1B2,25 78 27,
hB16,Hallway,246 175,hB4 B1Aud,20 1,
hB19,Hallway,246 136,B1Aud hB13,1 19,
hB20,Hallway,168 195,hB6 hB5 B105,16 47 11,
hC1,Hallway,345 238,hB1 hC2 hC4,38 33 54,
hC2,Special,345 205,hB2 hC1 C1Caf,38 33 31,
hC3,Special,399 205,C1Caf hC4,23 33,
hC4,Hallway,399 238,hC1 hC3 hC5,54 33 28,
hC5,Hallway,427 238,hC4 hC6 C102,28 28 14,
hC6,Hallway,455 238,hC5 hC10 hC7,28 4 147,
hC7,Hallway,455 91,hC6 hC8,147 62,
hC8,Hallway,517 91,hC7 hC9,62 8,
hC9,Hallway,517 99,hC8 hC18 C129,8 15 26,
hC10,Hallway,459 238,hC6 hC11 C103,4 40 14,
hC11,Hallway,499 238,hC10 hC12 C104,40 18 34,
hC12,Hallway,517 238,hC11 hC13 hC23,18 37 22,
hC13,Hallway,554 238,hC12 hC14 C105,37 52 14,
hC14,Hallway,606 238,hC13 hC15 C106,52 33 14,
hC15,Hallway,639 238,hC14 hC16 hC20,33 38 43,
hC16,Hallway,639 200,C1GA hC17 hC15,72 86 38,
hC17,Hallway,639 114,hC16 C1GB,86 72,
hC18,Hallway,517 114,hC9 C1GB,15 50,
hC19,Hallway,517 200,hC23 C1GA,16 50,
hC20,Hallway,682 238,hC15 hC21 C107,43 8 21,
hC21,Hallway,690 238,hC20 hC22 C108,8 11 21,
hC22,Hallway,701 238,hC21 C109 C1GC,11 14 38,
hC23,Hallway,517 216,hC12 hC19 C123,22 16 23,
hD1,Hallway,478 459,hA25 hD2 D105,44 4 14,
hD2,Hallway,478 463,hD1 hD3,4 31,
hD3,Hallway,509 463,hD2 hD4 D106,31 10 11,
hD4,Hallway,519 463,hD3 hD5 D107,10 13 14,
hD5,Hallway,532 463,hD4 hD6 D108,13 21 11,
hD6,Hallway,553 463,hD5 hD7 D109,21 12 11,
hD7,Hallway,565 463,hD6 hD8 D111,12 15 14,
hD8,Hallway,580 463,hD7 hD9 D110,15 21 11,
hD9,Hallway,601 463,hD8 hD10 D112,21 17 14,
hD10,Hallway,618 463,hD9 hD11 D113,17 37 11,
hD11,Hallway,655 463,hD10 hD12 D114,37 9 11,
hD12,Hallway,664 463,hD11 hD13 D120,9 80 14,
hD13,Hallway,744 463,hD12 D121 D123 D124,80 64 14 44,
A200,Classroom,596 1163,h2A1,15,
A201,Classroom,596 1133,h2A1,15,
A202,Classroom,624 1163,h2A2,15,
A203,Classroom,629 1133,h2A3,15,
A204,Classroom,699 1163,h2A5,18,
A205,Classroom,738 1163,h2A5,21,
A206,Classroom,801 1163,h2A6,15,
A208,Classroom,813 1133,h2A7,15,
A210,Classroom,841 1133,h2A8,15,
A211,Classroom,841 1163,h2A8,15,
A212,Classroom,705 1085,h2A9,12,
A213,Classroom,731 1085,h2A9,14,
A214,Classroom,705 1053,h2A10,12,
A215,Classroom,731 969,h2A11,14,
A216,Classroom,705 969,h2A11,12,
A226,Classroom,540 1053,h2A20,7,
A227,Classroom,540 998,h2A18,16,
A228,Classroom,540 984,h2A17,16,
A229,Classroom,540 928,h2A15,16,
A232,Classroom,596 934,h2A14,15,
A233,Classroom,571 984,h2A17,15,
A234,Classroom,571 998,h2A18,15,
A236,Classroom,570 1053,h2A21,7,
B201,Classroom,667 827,h2B3,14,
B202,Classroom,627 827,h2B4,14,
B203,Classroom,588 827,h2B5,14,
B204,Classroom,528 827,h2B6,14,
B210,Classroom,528 699,h2B10,16,
B211,Classroom,569 699,h2B11,16,
B212,Classroom,609 699,h2B12,16,
B213,Classroom,649 699,h2B13,16,
B214,Classroom,690 699,h2B14,16,
B2Aud,Classroom,547 747,h2B9 B1Aud,19 1,Auditorium(B218)
B2Aud1,Special,547 783,h2B7 B1Aud,19 1,
h2A1,Hallway,596 1148,A200 A201 h2A2 s2A5,15 15 28 25,
h2A2,Hallway,624 1148,h2A1 A202 h2A3,28 15 5,
h2A3,Hallway,629 1148,h2A2 A203 h2A4,5 15 88,
h2A4,Hallway,717 1148,h2A3 h2A22 h2A5 h2A6,88 50 15 84,
h2A5,Hallway,717 1163,h2A4 A204 A205,15 18 21,
h2A6,Hallway,801 1148,h2A4 A206 h2A7,84 15 12,
h2A7,Hallway,813 1148,h2A6 A208 h2A8,12 15 28,
h2A8,Hallway,841 1148,h2A7 A210 A211 s2A4,28 15 15 23,
h2A9,Hallway,717 1085,h2A22 A212 A213 h2A10,13 12 14 32,
h2A10,Hallway,717 1053,h2A9 A214 h2A11,32 12 84,
h2A11,Hallway,717 969,h2A10 A215 A216 h2A12,84 14 12 20,
h2A12,Hallway,717 949,h2B1 h2A11 h2A13,100 20 91,
h2A13,Hallway,626 949,h2A12 h2A14 s2A3,91 30 33,
h2A14,Hallway,596 949,h2A13 A232 h2A16,30 15 40,
h2A15,Hallway,556 928,h2A16 A229,21 16,
h2A16,Hallway,556 949,h2A15 h2A14 h2A17,21 40 35,
h2A17,Hallway,556 984,h2A16 A228 A233 h2A18,35 16 15 14,
h2A18,Hallway,556 998,h2A17 A227 A234 h2A19,14 16 15 48,
h2A19,Hallway,556 1046,h2A18 h2A20 h2A21 s2A1,48 16 14 19,
h2A20,Hallway,540 1046,h2A19 A226,16 7,
h2A21,Hallway,570 1046,h2A19 A236,14 7,
h2B1,Hallway,717 849,h2A12 h2B2 s2B1,100 36 19,
h2B2,Hallway,717 813,h2B1 h2B3 h2B16,36 50 5,
h2B3,Hallway,667 813,h2B2 B201 h2B4,50 14 40,
h2B4,Hallway,627 813,h2B3 B202 h2B5,40 14 39,
h2B5,Hallway,588 813,h2B4 B203 h2B6,39 14 60,
h2B6,Hallway,528 813,h2B5 h2B7 B204,60 30 14,
h2B7,Hallway,528 783,h2B6 B2Aud1 h2B8,30 19 18,
h2B8,Hallway,528 765,h2B7 h2B9 s2B3,18 18 14,
h2B9,Hallway,528 747,h2B8 h2B10 B2Aud,18 32 19,
h2B10,Hallway,528 715,h2B9 B210 h2B11,32 16 41,
h2B11,Hallway,569 715,h2B10 B211 h2B12,41 16 40,
h2B12,Hallway,609 715,h2B11 B212 h2B13,40 16 40,
h2B13,Hallway,649 715,h2B12 B213 h2B14,40 16 41,
h2B14,Hallway,690 715,h2B13 B214 h2B15,41 16 32,
h2B15,Hallway,722 715,h2B14 h2B16 s2B2,32 98 33,
h2B16,Hallway,722 813,h2B15 h2B2,98 5,
A300,Classroom,185 1161,h3A1,15,
A301,Classroom,185 1131,h3A1,15,
A302,Classroom,211 1161,h3A2,15,
A303,Classroom,217 1131,h3A3,15,
A304,Classroom,267 1161,h3A4,15,
A306,Classroom,326 1161,h3A6,15,
A307,Classroom,375 1161,h3A7,15,
A308,Classroom,390 1131,h3A8,15,
A310,Classroom,415 1131,h3A9,15,
A311,Classroom,415 1161,h3A9,15,
A312,Classroom,287 1082,h3A11,12,
A313,Classroom,318 1082,h3A11,19,
A314,Classroom,283 1105,h3A10,16,
A316,Classroom,287 1019,h3A12,12,
A317,Classroom,287 980,h3A13,12,
A318,Classroom,316 948,h3A14,17,
A326,Classroom,134 1051,h3A23,8,
A327,Classroom,134 1003,h3A21,14,
A328,Classroom,135 940,h3A19,13,
A329,Classroom,135 916,h3A19,11,
A332,Classroom,186 933,h3A16,15,
A333,Classroom,164 987,h3A20,16,
A334,Classroom,164 1003,h3A21,16,
A335,Classroom,162 1051,h3A24,8,
h3A1,Hallway,185 1146,A300 A301 h3A2 s3A5,15 15 26 22,
h3A2,Hallway,211 1146,h3A1 A302 h3A3,26 15 6,
h3A3,Hallway,217 1146,h3A2 A303 h3A4,6 15 50,
h3A4,Hallway,267 1146,h3A3 A304 h3A5,50 15 32,
h3A5,Hallway,299 1146,h3A4 h3A10 h3A6,32 41 27,
h3A6,Hallway,326 1146,h3A5 A306 h3A7,27 15 49,
h3A7,Hallway,375 1146,h3A6 A307 h3A8,49 15 15,
h3A8,Hallway,390 1146,h3A7 A308 h3A9,15 15 451,
h3A9,Hallway,415 1146,h3A8 A310 A311 s3A4,451 15 15 402,
h3A10,Hallway,299 1105,h3A5 A314 h3A25,41 16 8,
h3A11,Hallway,299 1082,h3A25 A312 A313 h3A12,15 12 19 63,
h3A12,Hallway,299 1019,h3A11 A316 h3A13,63 12 39,
h3A13,Hallway,299 980,h3A12 A317 h3A14,39 12 32,
h3A14,Hallway,299 948,h3A13 A318 h3A15,32 17 85,
h3A15,Hallway,214 948,h3A14 h3A16 s3A3,85 28 34,
h3A16,Hallway,186 948,h3A15 A332 h3A17,28 15 38,
h3A17,Hallway,148 948,h3A16 h3A18 h3A20,38 21 39,
h3A18,Hallway,148 927,h3A17 h3A19,21 13,
h3A19,Hallway,135 927,h3A18 A329 A328,13 11 13,
h3A20,Hallway,148 987,h3A17 h3A21 A333,39 16 16,
h3A21,Hallway,148 1003,h3A20 A327 A334 h3A22,16 14 16 40,
h3A22,Hallway,148 1043,h3A21 h3A23 h3A24 s3A1,40 14 14 20,
h3A23,Hallway,134 1043,h3A22 A326,14 8,
h3A24,Hallway,162 1043,h3A22 A335,14 8,
s1A1,Stairs,165 404,s2A1 hA1,1 15,
s1A2,Stairs,328 428,s2A2 hA27,1 21,
s1A3,Stairs,226 278,s2A3 hA28,1 26,
s1A4,Stairs,436 468,s2A4 hA24,1 17,
s1B1,Stairs,290 220,s2B1 hB17,1 17,
s1B2,Stairs,307 90,s2B2 hB15,1 27,
s1B3,Stairs,131 156,s2B3 hB8,1 21,
s2A1,Stairs,556 1065,s1A1 s3A1 h2A19,1 1 19,
s2A2,Stairs,749 1098,s1A2 s3A2 h2A22,1 1 32,
s2A3,Stairs,626 916,s1A3 s3A3 h2A13,1 1 33,
s2A4,Stairs,864 1148,s1A4 s3A4 h2A8,1 1 23,
s2A5,Stairs,571 1148,s3A5 h2A1,1 25,
s2B1,Stairs,698 849,s1B1 h2B1,1 19,
s2B2,Stairs,722 682,s1B2 h2B15,1 33,
s2B3,Stairs,514 765,s1B3 h2B8,1 14,
s3A1,Stairs,148 1063,s2A1 h3A22,1 20,
s3A2,Stairs,329 1097,s2A2 h3A25,1 30,
s3A3,Stairs,214 914,s2A3 h3A15,1 34,
s3A4,Stairs,439 1146,s2A4 h3A9,1 402,
s3A5,Stairs,163 1146,s2A5 h3A1,1 22,
A1Couns,Classroom,323 394,hA16,16,Counsellor
hA28,Hallway,226 304,hA9 hA12 s1A3,19 81 26,
hB17,Hallway,307 220,s1B1 hB1 hB2,17 18 15,
h2A22,Hallway,717 1098,h2A4 h2A9 s2A2,50 13 32,
h3A25,Hallway,299 1097,s3A2 h3A10 h3A11,30 8 15,
